datetime,date,open,high,low,close,volume,amount,symbol,interval,provider,adjust,market
2024-11-19 00:00:00,2024-11-19,3324.883,3346.758,3284.133,3346.01,62502415100,209133705948751.0,sh000001,1d,akshare,,CN
2024-11-20 00:00:00,2024-11-20,3337.678,3375.248,3333.002,3367.989,56615428900,190680141765482.1,sh000001,1d,akshare,,CN
2024-11-21 00:00:00,2024-11-21,3362.944,3378.518,3348.855,3370.404,53033183000,178743252115932.0,sh000001,1d,akshare,,CN
2024-11-22 00:00:00,2024-11-22,3368.043,3372.003,3267.192,3267.192,63068779000,206057810198568.0,sh000001,1d,akshare,,CN
2024-11-25 00:00:00,2024-11-25,3274.884,3285.456,3232.918,3263.76,53889739000,175883174558640.0,sh000001,1d,akshare,,CN
2024-11-26 00:00:00,2024-11-26,3256.858,3285.328,3252.866,3259.757,47221930400,153932018174912.8,sh000001,1d,akshare,,CN
2024-11-27 00:00:00,2024-11-27,3250.591,3309.881,3227.355,3309.779,51120230300,169196664722103.7,sh000001,1d,akshare,,CN
2024-11-28 00:00:00,2024-11-28,3308.28,3319.256,3290.364,3295.698,51195304700,168724263309180.6,sh000001,1d,akshare,,CN
2024-11-29 00:00:00,2024-11-29,3295.21,3357.501,3293.69,3326.456,58022710200,193009992481051.22,sh000001,1d,akshare,,CN
2024-12-02 00:00:00,2024-12-02,3328.482,3369.303,3323.009,3363.982,66847776200,224874715876828.4,sh000001,1d,akshare,,CN
2024-12-03 00:00:00,2024-12-03,3366.285,3386.618,3348.374,3378.806,66303013900,224025021183403.4,sh000001,1d,akshare,,CN
2024-12-04 00:00:00,2024-12-04,3376.572,3388.024,3352.943,3364.65,62102886200,208954476052830.0,sh000001,1d,akshare,,CN
2024-12-05 00:00:00,2024-12-05,3353.057,3377.055,3353.057,3368.855,54388574600,183227221484083.0,sh000001,1d,akshare,,CN
2024-12-06 00:00:00,2024-12-06,3370.941,3418.261,3364.206,3404.076,69818657200,237668015326747.2,sh000001,1d,akshare,,CN
2024-12-09 00:00:00,2024-12-09,3402.629,3426.645,3385.959,3402.534,69490520500,236443858678947.0,sh000001,1d,akshare,,CN
2024-12-10 00:00:00,2024-12-10,3490.289,3494.867,3417.765,3422.661,79466803400,271987928791847.4,sh000001,1d,akshare,,CN
2024-12-11 00:00:00,2024-12-11,3416.087,3437.81,3416.087,3432.49,68154461000,233939505837890.0,sh000001,1d,akshare,,CN
2024-12-12 00:00:00,2024-12-12,3432.279,3464.116,3425.976,3461.5,70009668900,242338468897350.0,sh000001,1d,akshare,,CN
2024-12-13 00:00:00,2024-12-13,3442.926,3442.926,3390.754,3391.878,77746414400,263706352582243.22,sh000001,1d,akshare,,CN
2024-12-16 00:00:00,2024-12-16,3390.083,3401.926,3376.536,3386.331,62557899600,211841754710367.6,sh000001,1d,akshare,,CN
2024-12-17 00:00:00,2024-12-17,3381.814,3396.207,3357.769,3361.485,56894150500,191248833493492.5,sh000001,1d,akshare,,CN
2024-12-18 00:00:00,2024-12-18,3371.296,3396.46,3371.296,3382.208,51252497900,173346608417363.22,sh000001,1d,akshare,,CN
2024-12-19 00:00:00,2024-12-19,3355.904,3377.532,3346.469,3370.033,51390906300,173189050130907.9,sh000001,1d,akshare,,CN
2024-12-20 00:00:00,2024-12-20,3364.481,3390.618,3362.819,3368.069,49096462100,165360272008684.9,sh000001,1d,akshare,,CN
2024-12-23 00:00:00,2024-12-23,3367.904,3384.992,3348.277,3351.257,55674724800,186580311209073.6,sh000001,1d,akshare,,CN
2024-12-24 00:00:00,2024-12-24,3353.535,3394.904,3352.947,3393.528,47199267300,160172035162034.38,sh000001,1d,akshare,,CN
2024-12-25 00:00:00,2024-12-25,3395.107,3406.213,3374.011,3393.35,47131559200,159933876411320.0,sh000001,1d,akshare,,CN
2024-12-26 00:00:00,2024-12-26,3389.338,3401.095,3380.255,3398.077,42217727100,143459087450786.72,sh000001,1d,akshare,,CN
2024-12-27 00:00:00,2024-12-27,3397.294,3418.952,3388.322,3400.142,50048813000,170173071131446.0,sh000001,1d,akshare,,CN
2024-12-30 00:00:00,2024-12-30,3395.396,3412.841,3394.965,3407.326,45526238300,155122735441785.8,sh000001,1d,akshare,,CN
2024-12-31 00:00:00,2024-12-31,3406.965,3413.455,3351.763,3351.763,50273106200,168503537256230.6,sh000001,1d,akshare,,CN
2025-01-02 00:00:00,2025-01-02,3347.939,3351.722,3242.087,3262.561,56137519900,183152083062463.9,sh000001,1d,akshare,,CN
2025-01-03 00:00:00,2025-01-03,3267.077,3273.566,3205.776,3211.43,51759201400,166221052152002.0,sh000001,1d,akshare,,CN
2025-01-06 00:00:00,2025-01-06,3209.783,3219.488,3185.463,3206.923,43097840300,138211455308396.89,sh000001,1d,akshare,,CN
2025-01-07 00:00:00,2025-01-07,3203.307,3230.853,3190.461,3229.644,40966052900,132305766952167.6,sh000001,1d,akshare,,CN
2025-01-08 00:00:00,2025-01-08,3218.858,3246.291,3175.725,3230.168,47286439000,152743142091752.0,sh000001,1d,akshare,,CN
2025-01-09 00:00:00,2025-01-09,3220.721,3228.973,3205.91,3211.393,38294355700,122978225834490.1,sh000001,1d,akshare,,CN
2025-01-10 00:00:00,2025-01-10,3211.707,3220.107,3168.524,3168.524,40366334800,127901700605835.2,sh000001,1d,akshare,,CN
2025-01-13 00:00:00,2025-01-13,3148.826,3172.7,3140.978,3160.755,37274202300,117814621290736.5,sh000001,1d,akshare,,CN
2025-01-14 00:00:00,2025-01-14,3165.161,3245.22,3159.432,3240.94,46921270400,152069022090176.0,sh000001,1d,akshare,,CN
2025-01-15 00:00:00,2025-01-15,3234.715,3245.904,3222.236,3227.117,40472319900,130608911578728.31,sh000001,1d,akshare,,CN
2025-01-16 00:00:00,2025-01-16,3239.026,3265.282,3217.097,3236.032,43065553900,139361510518124.81,sh000001,1d,akshare,,CN
2025-01-17 00:00:00,2025-01-17,3226.762,3256.507,3219.773,3241.821,38359926000,124356013665246.0,sh000001,1d,akshare,,CN
2025-01-20 00:00:00,2025-01-20,3256.149,3268.263,3238.121,3244.378,40333794800,130858076505634.4,sh000001,1d,akshare,,CN
2025-01-21 00:00:00,2025-01-21,3256.833,3258.61,3229.069,3242.623,38458371800,124706000941231.4,sh000001,1d,akshare,,CN
2025-01-22 00:00:00,2025-01-22,3235.493,3235.501,3203.38,3213.624,36481751800,117238633146523.19,sh000001,1d,akshare,,CN
2025-01-23 00:00:00,2025-01-23,3237.599,3273.52,3229.572,3230.164,45824680300,148021232616569.22,sh000001,1d,akshare,,CN
2025-01-24 00:00:00,2025-01-24,3222.877,3260.011,3221.712,3252.626,39865303300,129666922011465.81,sh000001,1d,akshare,,CN
2025-01-27 00:00:00,2025-01-27,3256.614,3274.392,3250.601,3250.601,38746764200,125950270455284.2,sh000001,1d,akshare,,CN
2025-02-05 00:00:00,2025-02-05,3270.16,3271.022,3220.279,3229.488,40638818100,131242575388132.8,sh000001,1d,akshare,,CN
2025-02-06 00:00:00,2025-02-06,3226.575,3271.427,3225.846,3270.659,46084273000,150725942245907.0,sh000001,1d,akshare,,CN
2025-02-07 00:00:00,2025-02-07,3269.227,3324.428,3262.509,3303.667,60055845100,198404513613981.7,sh000001,1d,akshare,,CN
2025-02-10 00:00:00,2025-02-10,3308.04,3325.356,3299.243,3322.17,54658974900,181586406643533.0,sh000001,1d,akshare,,CN
2025-02-11 00:00:00,2025-02-11,3323.669,3324.173,3304.444,3318.057,51194354100,169865784981983.7,sh000001,1d,akshare,,CN
2025-02-12 00:00:00,2025-02-12,3312.257,3346.385,3310.39,3346.385,51343782800,171816064605178.0,sh000001,1d,akshare,,CN
2025-02-13 00:00:00,2025-02-13,3343.235,3359.181,3332.483,3332.483,56863116100,189495367730276.3,sh000001,1d,akshare,,CN
2025-02-14 00:00:00,2025-02-14,3328.483,3349.084,3322.529,3346.724,53233296500,178157150995666.0,sh000001,1d,akshare,,CN
2025-02-17 00:00:00,2025-02-17,3355.417,3357.121,3333.195,3355.83,58954656900,197841806264727.0,sh000001,1d,akshare,,CN
2025-02-18 00:00:00,2025-02-18,3348.983,3366.012,3314.301,3324.491,56267924000,187062206926684.0,sh000001,1d,akshare,,CN
2025-02-19 00:00:00,2025-02-19,3320.78,3352.087,3320.581,3351.539,50291296500,168553241580313.5,sh000001,1d,akshare,,CN
2025-02-20 00:00:00,2025-02-20,3347.589,3355.557,3338.034,3350.783,50435711400,168999124352026.2,sh000001,1d,akshare,,CN
2025-02-21 00:00:00,2025-02-21,3356.695,3381.058,3339.026,3379.113,60819020600,205514343156727.78,sh000001,1d,akshare,,CN
2025-02-24 00:00:00,2025-02-24,3374.081,3384.811,3355.869,3373.028,59818820300,201770555798868.38,sh000001,1d,akshare,,CN
2025-02-25 00:00:00,2025-02-25,3345.653,3369.558,3337.845,3346.04,52757856200,176529897159448.0,sh000001,1d,akshare,,CN
2025-02-26 00:00:00,2025-02-26,3351.209,3380.214,3351.209,3380.214,55399203100,187261161907463.4,sh000001,1d,akshare,,CN
2025-02-27 00:00:00,2025-02-27,3378.449,3388.781,3353.571,3388.062,57581502000,195089698829124.0,sh000001,1d,akshare,,CN
2025-02-28 00:00:00,2025-02-28,3374.664,3383.191,3318.716,3320.897,56831950400,188733053587508.78,sh000001,1d,akshare,,CN
2025-03-03 00:00:00,2025-03-03,3328.396,3349.017,3304.593,3316.925,50241786200,166648236691435.0,sh000001,1d,akshare,,CN
2025-03-04 00:00:00,2025-03-04,3300.498,3327.824,3297.53,3324.21,42999611100,142939737214731.0,sh000001,1d,akshare,,CN
2025-03-05 00:00:00,2025-03-05,3324.696,3342.714,3314.148,3341.965,46095269600,154048777668764.0,sh000001,1d,akshare,,CN
2025-03-06 00:00:00,2025-03-06,3353.57,3387.054,3348.684,3381.098,53999270900,182576826841448.2,sh000001,1d,akshare,,CN
2025-03-07 00:00:00,2025-03-07,3373.181,3390.944,3363.929,3372.546,51766355100,174584413827084.6,sh000001,1d,akshare,,CN
2025-03-10 00:00:00,2025-03-10,3373.259,3375.798,3347.186,3366.163,45038083200,151605529258761.6,sh000001,1d,akshare,,CN
2025-03-11 00:00:00,2025-03-11,3335.439,3379.829,3334.831,3379.828,44846832300,151574579518844.4,sh000001,1d,akshare,,CN
2025-03-12 00:00:00,2025-03-12,3385.685,3392.409,3370.22,3371.924,50219510000,169336371037240.0,sh000001,1d,akshare,,CN
2025-03-13 00:00:00,2025-03-13,3371.095,3377.118,3341.118,3358.729,51901347900,174322562330819.1,sh000001,1d,akshare,,CN
2025-03-14 00:00:00,2025-03-14,3361.686,3421.233,3360.606,3419.562,58266338800,199245358039605.6,sh000001,1d,akshare,,CN
2025-03-17 00:00:00,2025-03-17,3430.809,3436.352,3422.462,3426.129,51568513800,176680380617080.2,sh000001,1d,akshare,,CN
2025-03-18 00:00:00,2025-03-18,3434.565,3437.065,3423.301,3429.759,45491606300,156025246131881.7,sh000001,1d,akshare,,CN
2025-03-19 00:00:00,2025-03-19,3424.173,3439.046,3414.593,3426.429,44031629900,150871253606627.1,sh000001,1d,akshare,,CN
2025-03-20 00:00:00,2025-03-20,3425.216,3427.045,3404.662,3408.948,45163068200,153958551014253.6,sh000001,1d,akshare,,CN
2025-03-21 00:00:00,2025-03-21,3401.759,3414.709,3355.84,3364.831,52086263000,175261472416553.0,sh000001,1d,akshare,,CN
2025-03-24 00:00:00,2025-03-24,3364.834,3373.694,3340.238,3370.028,51331026000,172986994888728.0,sh000001,1d,akshare,,CN
2025-03-25 00:00:00,2025-03-25,3370.001,3379.988,3361.046,3369.976,45635739300,153791346183256.8,sh000001,1d,akshare,,CN
2025-03-26 00:00:00,2025-03-26,3365.666,3382.342,3365.666,3368.697,42853377000,144360042539769.0,sh000001,1d,akshare,,CN
2025-03-27 00:00:00,2025-03-27,3362.712,3394.035,3351.174,3373.749,41477631400,139935117458118.6,sh000001,1d,akshare,,CN
2025-03-28 00:00:00,2025-03-28,3372.039,3375.053,3346.081,3351.307,41228428900,138169122371572.3,sh000001,1d,akshare,,CN
2025-03-31 00:00:00,2025-03-31,3343.344,3361.742,3317.738,3335.746,47257197800,157638008532558.8,sh000001,1d,akshare,,CN
2025-04-01 00:00:00,2025-04-01,3340.712,3357.622,3338.779,3348.435,42258867000,141501069323145.0,sh000001,1d,akshare,,CN
2025-04-02 00:00:00,2025-04-02,3344.171,3361.134,3343.116,3350.127,35012736400,117297113557522.8,sh000001,1d,akshare,,CN
2025-04-03 00:00:00,2025-04-03,3319.606,3358.426,3319.606,3342.008,40051782700,133853378197661.6,sh000001,1d,akshare,,CN
2025-04-07 00:00:00,2025-04-07,3193.102,3217.782,3040.693,3096.576,66219958400,205055133902438.4,sh000001,1d,akshare,,CN
2025-04-08 00:00:00,2025-04-08,3094.262,3145.549,3085.123,3145.549,66224238700,208311587818546.3,sh000001,1d,akshare,,CN
2025-04-09 00:00:00,2025-04-09,3110.01,3186.81,3070.078,3186.81,68479717400,218231848207494.0,sh000001,1d,akshare,,CN
2025-04-10 00:00:00,2025-04-10,3227.836,3239.941,3201.571,3223.638,59120827300,190584145475717.4,sh000001,1d,akshare,,CN
2025-04-11 00:00:00,2025-04-11,3219.505,3249.854,3211.35,3238.227,47553180400,153987992707150.78,sh000001,1d,akshare,,CN
